dataset,dataset_full_name,dataset_link,c_source,c_programme,c_modality,c_obs_type,c_protocol,c_platform,c_workflow,c_cn_type,c_raw_cn_scale,c_raw_locus_type,c_reference,c_cancer_type,c_cancer_type_full_name,n_sample_num,n_cell_num,n_spot_num,n_after_qc_ratio,c_usage_permission
msk_ctdna_vte_2024_BLCA,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,BLCA,Bladder Urothelial Carcinoma,249,NA,NA,NA,Open Access
msk_ctdna_vte_2024_Bone_Cancer,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,Bone Cancer,Bone Cancer,6,NA,NA,NA,Open Access
msk_ctdna_vte_2024_Brain_Cancer,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,Brain Cancer,Brain Cancer,9,NA,NA,NA,Open Access
msk_ctdna_vte_2024_BRCA,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,BRCA,Breast Invasive Carcinoma,630,NA,NA,NA,Open Access
msk_ctdna_vte_2024_CESC,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,CESC,Cervical Cancer,5,NA,NA,NA,Open Access
msk_ctdna_vte_2024_CRC,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,CRC,Colorectal Cancer,173,NA,NA,NA,Open Access
msk_ctdna_vte_2024_DLBCL,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,DLBCL,Mature B-Cell Neoplasms,14,NA,NA,NA,Open Access
msk_ctdna_vte_2024_EGC,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,EGC,Esophagogastric Cancer,188,NA,NA,NA,Open Access
msk_ctdna_vte_2024_GCT,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,GCT,Germ Cell Tumor,91,NA,NA,NA,Open Access
msk_ctdna_vte_2024_GIST,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,GIST,Gastrointestinal Stromal Tumor,37,NA,NA,NA,Open Access
msk_ctdna_vte_2024_HCC,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,HCC,Liver Hepatocellular Carcinoma,190,NA,NA,NA,Open Access
msk_ctdna_vte_2024_Lung_Cancer,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,Lung Cancer,Lung Cancer,57,NA,NA,NA,Open Access
msk_ctdna_vte_2024_MEL,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,MEL,Melanoma,373,NA,NA,NA,Open Access
msk_ctdna_vte_2024_mixed,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,Mixed,Mixed,34,NA,NA,NA,Open Access
msk_ctdna_vte_2024_NSCLC,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,NSCLC,Non Small Cell Lung Cancer,1842,NA,NA,NA,Open Access
msk_ctdna_vte_2024_OV,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,OV,Ovarian Cancer,25,NA,NA,NA,Open Access
msk_ctdna_vte_2024_Pancreatic_Cancer,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,Pancreatic Cancer,Pancreatic Cancer,648,NA,NA,NA,Open Access
msk_ctdna_vte_2024_Prostate_Cancer,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,Prostate Cancer,Prostate Cancer,318,NA,NA,NA,Open Access
msk_ctdna_vte_2024_RBL,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,RBL,Retinoblastoma,311,NA,NA,NA,Open Access
msk_ctdna_vte_2024_RCC,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,RCC,Renal Cell Carcinoma,10,NA,NA,NA,Open Access
msk_ctdna_vte_2024_SARC,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,SARC,Sarcoma,37,NA,NA,NA,Open Access
msk_ctdna_vte_2024_SBC,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,SBC,Small Bowel Cancer,19,NA,NA,NA,Open Access
msk_ctdna_vte_2024_THCA,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,THCA,Thyroid Carcinoma,17,NA,NA,NA,Open Access
msk_ctdna_vte_2024_UCEC,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,UCEC,Uterine Corpus Endometrial Carcinoma,54,NA,NA,NA,Open Access
msk_ctdna_vte_2024_UCS,"MSK ctDNA Sequencing Cohort (MSK, Nature Medicine 2024)",https://www.cbioportal.org/study/summary?id=msk_ctdna_vte_2024,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,NA,UCS,Uterine Sarcoma,5,NA,NA,NA,Open Access
msk_impact_2017_ACC,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,ACC,Adrenocortical Carcinoma,26,NA,NA,NA,Open Access
msk_impact_2017_Anal_Cancer,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Anal Cancer,Anal Cancer,32,NA,NA,NA,Open Access
msk_impact_2017_APAD,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,APAD,Appendiceal Cancer,79,NA,NA,NA,Open Access
msk_impact_2017_BLCA,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,BLCA,Bladder Urothelial Carcinoma,423,NA,NA,NA,Open Access
msk_impact_2017_Bone_Cancer,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Bone Cancer,Bone Cancer,134,NA,NA,NA,Open Access
msk_impact_2017_Brain_Cancer,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Brain Cancer,Brain Cancer,68,NA,NA,NA,Open Access
msk_impact_2017_BRCA,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,BRCA,Breast Invasive Carcinoma,1337,NA,NA,NA,Open Access
msk_impact_2017_CESC,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,CESC,Cervical Cancer,50,NA,NA,NA,Open Access
msk_impact_2017_CRC,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,CRC,Colorectal Cancer,1007,NA,NA,NA,Open Access
msk_impact_2017_DLBCL,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,DLBCL,Mature B-Cell Neoplasms,134,NA,NA,NA,Open Access
msk_impact_2017_EGC,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,EGC,Esophagogastric Cancer,341,NA,NA,NA,Open Access
msk_impact_2017_GBM,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,GBM,Glioma,553,NA,NA,NA,Open Access
msk_impact_2017_GCT,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,GCT,Germ Cell Tumor,288,NA,NA,NA,Open Access
msk_impact_2017_GIST,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,GIST,Gastrointestinal Stromal Tumor,183,NA,NA,NA,Open Access
msk_impact_2017_HCC,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,HCC,Liver Hepatocellular Carcinoma,355,NA,NA,NA,Open Access
msk_impact_2017_HNSC,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,HNSC,Head And Neck Cancer,186,NA,NA,NA,Open Access
msk_impact_2017_Lung_Cancer,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Lung Cancer,Lung Cancer,82,NA,NA,NA,Open Access
msk_impact_2017_Lymphoma,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Lymphoma,Lymphoma,10,NA,NA,NA,Open Access
msk_impact_2017_MEL,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,MEL,Melanoma,365,NA,NA,NA,Open Access
msk_impact_2017_MESO,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,MESO,Mesothelioma,107,NA,NA,NA,Open Access
msk_impact_2017_Miscellaneous_Neuroepithelial_Tumor,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Miscellaneous Neuroepithelial Tumor,Miscellaneous Neuroepithelial Tumor,9,NA,NA,NA,Open Access
msk_impact_2017_mixed,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Mixed,Mixed,13,NA,NA,NA,Open Access
msk_impact_2017_MTNN,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,MTNN,Mature T And NK Neoplasms,29,NA,NA,NA,Open Access
msk_impact_2017_NSCLC,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,NSCLC,Non Small Cell Lung Cancer,1668,NA,NA,NA,Open Access
msk_impact_2017_Other,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Other,Other,33,NA,NA,NA,Open Access
msk_impact_2017_OV,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,OV,Ovarian Cancer,224,NA,NA,NA,Open Access
msk_impact_2017_Pancreatic_Cancer,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Pancreatic Cancer,Pancreatic Cancer,527,NA,NA,NA,Open Access
msk_impact_2017_Prostate_Cancer,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Prostate Cancer,Prostate Cancer,717,NA,NA,NA,Open Access
msk_impact_2017_RCC,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,RCC,Renal Cell Carcinoma,361,NA,NA,NA,Open Access
msk_impact_2017_SARC,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,SARC,Sarcoma,458,NA,NA,NA,Open Access
msk_impact_2017_SBC,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,SBC,Small Bowel Cancer,35,NA,NA,NA,Open Access
msk_impact_2017_Skin_Cancer,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Skin Cancer,Skin Cancer,148,NA,NA,NA,Open Access
msk_impact_2017_THCA,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,THCA,Thyroid Carcinoma,231,NA,NA,NA,Open Access
msk_impact_2017_THYM,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,THYM,Thymic Tumor,18,NA,NA,NA,Open Access
msk_impact_2017_UCEC,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,UCEC,Uterine Corpus Endometrial Carcinoma,218,NA,NA,NA,Open Access
msk_impact_2017_UCS,"MSK-IMPACT Clinical Sequencing Cohort (MSK, Nat Med 2017)",https://www.cbioportal.org/study/summary?id=msk_impact_2017,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,UCS,Uterine Sarcoma,93,NA,NA,NA,Open Access
msk_met_2021_Anal_Cancer,"MSK MetTropism (MSK, Cell 2021)",https://www.cbioportal.org/study/summary?id=msk_met_2021,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Anal Cancer,Anal Cancer,87,NA,NA,NA,Open Access
msk_met_2021_APAD,"MSK MetTropism (MSK, Cell 2021)",https://www.cbioportal.org/study/summary?id=msk_met_2021,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,APAD,Appendiceal Cancer,202,NA,NA,NA,Open Access
msk_met_2021_BLCA,"MSK MetTropism (MSK, Cell 2021)",https://www.cbioportal.org/study/summary?id=msk_met_2021,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,BLCA,Bladder Urothelial Carcinoma,1158,NA,NA,NA,Open Access
msk_met_2021_BRCA,"MSK MetTropism (MSK, Cell 2021)",https://www.cbioportal.org/study/summary?id=msk_met_2021,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,BRCA,Breast Invasive Carcinoma,2609,NA,NA,NA,Open Access
msk_met_2021_CESC,"MSK MetTropism (MSK, Cell 2021)",https://www.cbioportal.org/study/summary?id=msk_met_2021,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,CESC,Cervical Cancer,103,NA,NA,NA,Open Access
msk_met_2021_CRC,"MSK MetTropism (MSK, Cell 2021)",https://www.cbioportal.org/study/summary?id=msk_met_2021,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,CRC,Colorectal Cancer,3548,NA,NA,NA,Open Access
msk_met_2021_EGC,"MSK MetTropism (MSK, Cell 2021)",https://www.cbioportal.org/study/summary?id=msk_met_2021,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,EGC,Esophagogastric Cancer,862,NA,NA,NA,Open Access
msk_met_2021_GCT,"MSK MetTropism (MSK, Cell 2021)",https://www.cbioportal.org/study/summary?id=msk_met_2021,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,GCT,Germ Cell Tumor,337,NA,NA,NA,Open Access
msk_met_2021_GIST,"MSK MetTropism (MSK, Cell 2021)",https://www.cbioportal.org/study/summary?id=msk_met_2021,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,GIST,Gastrointestinal Stromal Tumor,553,NA,NA,NA,Open Access
msk_met_2021_HCC,"MSK MetTropism (MSK, Cell 2021)",https://www.cbioportal.org/study/summary?id=msk_met_2021,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,HCC,Liver Hepatocellular Carcinoma,902,NA,NA,NA,Open Access
msk_met_2021_HNSC,"MSK MetTropism (MSK, Cell 2021)",https://www.cbioportal.org/study/summary?id=msk_met_2021,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,HNSC,Head And Neck Cancer,412,NA,NA,NA,Open Access
msk_met_2021_Lung_Cancer,"MSK MetTropism (MSK, Cell 2021)",https://www.cbioportal.org/study/summary?id=msk_met_2021,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Lung Cancer,Lung Cancer,314,NA,NA,NA,Open Access
msk_met_2021_MEL,"MSK MetTropism (MSK, Cell 2021)",https://www.cbioportal.org/study/summary?id=msk_met_2021,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,MEL,Melanoma,1142,NA,NA,NA,Open Access
msk_met_2021_MESO,"MSK MetTropism (MSK, Cell 2021)",https://www.cbioportal.org/study/summary?id=msk_met_2021,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,MESO,Mesothelioma,244,NA,NA,NA,Open Access
msk_met_2021_NSCLC,"MSK MetTropism (MSK, Cell 2021)",https://www.cbioportal.org/study/summary?id=msk_met_2021,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,NSCLC,Non Small Cell Lung Cancer,4710,NA,NA,NA,Open Access
msk_met_2021_OV,"MSK MetTropism (MSK, Cell 2021)",https://www.cbioportal.org/study/summary?id=msk_met_2021,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,OV,Ovarian Cancer,1183,NA,NA,NA,Open Access
msk_met_2021_Pancreatic_Cancer,"MSK MetTropism (MSK, Cell 2021)",https://www.cbioportal.org/study/summary?id=msk_met_2021,cBioportal,MSK,bulkDNA,sample,NA,Illumina HiSeq,IMPACT,Gene Log,log2 ratio,gene-level matrices,hg19,Pancreatic Cancer,Pancreatic Cancer,1990,NA,NA,NA,Open Access
